"transactionID","value"
1,"yogurt"
2,"toilet paper"
3,"soda"
4,"cereals"
5,"sandwich loaves"
6,"laundry detergent"
7,"individual meals"
8,"ice cream"
9,"juice"
10,"ketchup"
11,"sandwich loaves"
12,"pork"
13,"sugar"
14,"fruits"
15,"individual meals"
16,"sugar"
17,"milk"
18,"sandwich bags"
19,"individual meals"
20,"shampoo"
21,"waffles"
22,"cheeses"
23,"vegetables"
24,"fruits"
25,"bagels"
26,"fruits"
27,"laundry detergent"
28,"pork"
29,"pasta"
30,"flour"
31,"aluminum foil"
32,"soap"
33,"sandwich loaves"
34,"lunch meat"
35,"aluminum foil"
36,"soap"
37,"fruits"
38,"eggs"
39,"coffee/tea"
40,"hand soap"
41,"milk"
42,"cereals"
43,"toilet paper"
44,"butter"
45,"butter"
46,"hand soap"
47,"soda"
48,"beef"
49,"laundry detergent"
50,"vegetables"
51,"sandwich bags"
52,"hand soap"
53,"flour"
54,"pasta"
55,"dishwashing liquid/detergent"
56,"shampoo"
57,"shampoo"
58,"individual meals"
59,"soap"
60,"milk"
61,"juice"
62,"tortillas"
63,"juice"
64,"ketchup"
65,"cereals"
66,"individual meals"
67,"flour"
68,"paper towels"
69,"juice"
70,"pork"
71,"tortillas"
72,"beef"
73,"vegetables"
74,"sandwich bags"
75,"juice"
76,"bagels"
77,"hand soap"
78,"fruits"
79,"juice"
80,"dishwashing liquid/detergent"
81,"paper towels"
82,"pork"
83,"cereals"
84,"flour"
85,"dishwashing liquid/detergent"
86,"yogurt"
87,"milk"
88,"poultry"
89,"paper towels"
90,"pasta"
91,"lunch meat"
92,"coffee/tea"
93,"toilet paper"
94,"dishwashing liquid/detergent"
95,"dinner rolls"
96,"milk"
97,"hand soap"
98,"fruits"
99,"dinner rolls"
100,"paper towels"
101,"yogurt"
102,"flour"
103,"lunch meat"
104,"hand soap"
105,"individual meals"
106,"shampoo"
107,"flour"
108,"tortillas"
109,"lunch meat"
110,"lunch meat"
111,"waffles"
112,"cheeses"
113,"sandwich loaves"
114,"dinner rolls"
115,"eggs"
116,"pork"
117,"cheeses"
118,"beef"
119,"mixes"
120,"bagels"
121,"laundry detergent"
122,"tortillas"
123,"spaghetti sauce"
124,"hand soap"
125,"cheeses"
126,"cereals"
127,"pasta"
128,"vegetables"
129,"all- purpose"
130,"ice cream"
131,"sandwich loaves"
132,"eggs"
133,"juice"
134,"eggs"
135,"all- purpose"
136,"coffee/tea"
137,"dinner rolls"
138,"bagels"
139,"vegetables"
140,"sandwich loaves"
141,"soap"
142,"cereals"
143,"tortillas"
144,"sandwich bags"
145,"ice cream"
146,"laundry detergent"
147,"cereals"
148,"bagels"
149,"shampoo"
150,"individual meals"
151,"spaghetti sauce"
152,"lunch meat"
153,"sandwich bags"
154,"flour"
155,"vegetables"
156,"vegetables"
157,"waffles"
158,"tortillas"
159,"butter"
160,"ice cream"
161,"tortillas"
162,"paper towels"
163,"juice"
164,"beef"
165,"flour"
166,"beef"
167,"pasta"
168,"shampoo"
169,"all- purpose"
170,"waffles"
171,"spaghetti sauce"
172,"hand soap"
173,"eggs"
174,"ketchup"
175,"paper towels"
176,"juice"
177,"pasta"
178,"lunch meat"
179,"pork"
180,"butter"
181,"spaghetti sauce"
182,"ice cream"
183,"vegetables"
184,"sandwich bags"
185,"dinner rolls"
186,"poultry"
187,"sugar"
188,"shampoo"
189,"soda"
190,"aluminum foil"
191,"vegetables"
192,"bagels"
193,"vegetables"
194,"pasta"
195,"coffee/tea"
196,"dinner rolls"
197,"vegetables"
198,"shampoo"
199,"spaghetti sauce"
200,"aluminum foil"
201,"bagels"
202,"toilet paper"
203,"poultry"
204,"all- purpose"
205,"eggs"
206,"dishwashing liquid/detergent"
207,"vegetables"
208,"beef"
209,"shampoo"
210,"bagels"
211,"poultry"
212,"sandwich loaves"
213,"pork"
214,"coffee/tea"
215,"spaghetti sauce"
216,"flour"
217,"hand soap"
218,"cheeses"
219,"juice"
220,"sandwich loaves"
221,"all- purpose"
222,"sugar"
223,"all- purpose"
224,"poultry"
225,"vegetables"
226,"milk"
227,"vegetables"
228,"all- purpose"
229,"spaghetti sauce"
230,"all- purpose"
231,"paper towels"
232,"milk"
233,"vegetables"
234,"flour"
235,"shampoo"
236,"laundry detergent"
237,"sandwich bags"
238,"juice"
239,"poultry"
240,"eggs"
241,"paper towels"
242,"eggs"
243,"butter"
244,"vegetables"
245,"butter"
246,"paper towels"
247,"fruits"
248,"laundry detergent"
249,"sandwich loaves"
250,"bagels"
251,"cheeses"
252,"sugar"
253,"ketchup"
254,"sandwich bags"
255,"fruits"
256,"hand soap"
257,"yogurt"
258,"vegetables"
259,"flour"
260,"butter"
261,"vegetables"
262,"poultry"
263,"vegetables"
264,"paper towels"
265,"fruits"
266,"ketchup"
267,"cereals"
268,"dishwashing liquid/detergent"
269,"cheeses"
270,"yogurt"
271,"lunch meat"
272,"coffee/tea"
273,"cheeses"
274,"beef"
275,"laundry detergent"
276,"tortillas"
277,"cereals"
278,"lunch meat"
279,"dishwashing liquid/detergent"
280,"vegetables"
281,"aluminum foil"
282,"poultry"
283,"lunch meat"
284,"cereals"
285,"fruits"
286,"aluminum foil"
287,"paper towels"
288,"milk"
289,"flour"
290,"ketchup"
291,"vegetables"
292,"sandwich bags"
293,"sandwich bags"
294,"flour"
295,"juice"
296,"vegetables"
297,"sandwich bags"
298,"shampoo"
299,"butter"
300,"individual meals"
301,"ice cream"
302,"mixes"
303,"vegetables"
304,"spaghetti sauce"
305,"coffee/tea"
306,"eggs"
307,"bagels"
308,"pasta"
309,"laundry detergent"
310,"vegetables"
311,"cereals"
312,"beef"
313,"sugar"
314,"soap"
315,"pasta"
316,"vegetables"
317,"pasta"
318,"sandwich loaves"
319,"pork"
320,"waffles"
321,"soda"
322,"ketchup"
323,"ice cream"
324,"pasta"
325,"tortillas"
326,"waffles"
327,"ice cream"
328,"coffee/tea"
329,"poultry"
330,"vegetables"
331,"pasta"
332,"laundry detergent"
333,"individual meals"
334,"individual meals"
335,"cereals"
336,"lunch meat"
337,"toilet paper"
338,"lunch meat"
339,"butter"
340,"vegetables"
341,"all- purpose"
342,"sandwich loaves"
343,"cereals"
344,"dishwashing liquid/detergent"
345,"coffee/tea"
346,"all- purpose"
347,"tortillas"
348,"lunch meat"
349,"spaghetti sauce"
350,"waffles"
351,"aluminum foil"
352,"laundry detergent"
353,"sandwich bags"
354,"pork"
355,"lunch meat"
356,"cheeses"
357,"coffee/tea"
358,"individual meals"
359,"cheeses"
360,"vegetables"
361,"spaghetti sauce"
362,"yogurt"
363,"vegetables"
364,"sandwich bags"
365,"juice"
366,"coffee/tea"
367,"aluminum foil"
368,"vegetables"
369,"flour"
370,"sugar"
371,"vegetables"
372,"vegetables"
373,"fruits"
374,"soda"
375,"ketchup"
376,"dishwashing liquid/detergent"
377,"eggs"
378,"milk"
379,"vegetables"
380,"dinner rolls"
381,"ice cream"
382,"eggs"
383,"flour"
384,"all- purpose"
385,"dinner rolls"
386,"dishwashing liquid/detergent"
387,"tortillas"
388,"waffles"
389,"yogurt"
390,"poultry"
391,"paper towels"
392,"aluminum foil"
393,"beef"
394,"soda"
395,"vegetables"
396,"flour"
397,"pasta"
398,"tortillas"
399,"juice"
400,"lunch meat"
401,"milk"
402,"cheeses"
403,"eggs"
404,"shampoo"
405,"hand soap"
406,"pasta"
407,"sandwich loaves"
408,"hand soap"
409,"hand soap"
410,"flour"
411,"cereals"
